crime_type,crime_location,time_occ,cordinates
VEHICLE - STOLEN,STREET,1800,"-118.4847, 34.2738"
VEHICLE - STOLEN,STREET,2230,"-118.3615, 34.1613"
BURGLARY,HARDWARE/BUILDING SUPPLY,1715,"-118.3834, 34.2012"
VEHICLE - STOLEN,STREET,1530,"-118.2651, 33.9529"
VEHICLE - STOLEN,STREET,1400,"-118.3383, 34.2639"
VEHICLE - STOLEN,STREET,1730,"-118.3008, 34.2679"
VEHICLE - STOLEN,STREET,2100,"-118.4361, 34.2625"
VEHICLE - STOLEN,STREET,2000,"-118.3618, 34.2175"
VEHICLE - STOLEN,PARKING LOT,1130,"-118.384, 34.2244"
VEHICLE - STOLEN,STREET,1500,"-118.3105, 34.2543"
VEHICLE - STOLEN,STREET,2000,"-118.4164, 34.2439"
VEHICLE - STOLEN,PARKING LOT,1700,"-118.4032, 34.2535"
VEHICLE - STOLEN,STREET,1130,"-118.3713, 34.2345"
VEHICLE - STOLEN,STREET,1700,"-118.4155, 34.2445"
VEHICLE - STOLEN,STREET,1820,"-118.5885, 34.2246"
VEHICLE - STOLEN,STREET,2100,"-118.4117, 34.2868"
VEHICLE - STOLEN,STREET,1400,"-118.4225, 34.2782"
BURGLARY FROM VEHICLE,STREET,2200,"-118.3008, 34.2679"
VEHICLE - STOLEN,STREET,2200,"-118.3725, 34.2103"
CHILD ANNOYING (17YRS & UNDER,STREET,1500,"-118.3964, 34.2321"
VEHICLE - STOLEN,STREET,2200,"-118.5026, 34.2267"
VEHICLE - STOLEN,STREET,1200,"-118.6039, 34.2517"
VEHICLE - STOLEN,STREET,2100,"-118.6061, 34.2518"
VEHICLE - STOLEN,STREET,2300,"-118.2522, 33.931"
VEHICLE - STOLEN,STREET,1200,"-118.498, 34.2575"
VEHICLE - STOLEN,STREET,1400,"-118.287, 33.931"
VEHICLE - STOLEN,ALLEY,1800,"-118.4851, 34.2284"
VEHICLE - STOLEN,STREET,2000,"-118.2329, 33.9483"
VEHICLE - STOLEN,STREET,1600,"-118.5667, 34.23"
THEFT PLAIN - PETTY ($950 & UNDER,STREET,1030,"-118.5973, 34.25"
BURGLARY FROM VEHICLE,STREET,1200,"-118.5383, 34.2246"
VEHICLE - STOLEN,PARKING LOT,1500,"-118.4978, 34.272"
BURGLARY,OTHER STORE,1400,"-118.5536, 34.2564"
BURGLARY FROM VEHICLE,STREET,2000,"-118.4896, 34.2213"
VEHICLE - STOLEN,STREET,1800,"-118.5536, 34.2273"
VEHICLE - STOLEN,STREET,2330,"-118.5274, 34.2627"
VEHICLE - STOLEN,PARKING LOT,1920,"-118.5536, 34.2564"
VANDALISM - MISDEAMEANOR ($399 OR UNDER,DRIVEWAY,2245,"-118.6148, 34.2445"
BURGLARY,SINGLE FAMILY DWELLING,1115,"-118.5667, 34.2264"
VEHICLE - STOLEN,STREET,2200,"-118.2542, 33.9351"
VEHICLE - STOLEN,STREET,1400,"-118.2462, 33.9432"
VEHICLE - STOLEN,STREET,2030,"-118.4655, 34.2283"
VEHICLE - STOLEN,STREET,2000,"-118.2827, 33.9698"
VEHICLE - STOLEN,STREET,1100,"-118.2876, 34.04"
VEHICLE - STOLEN,STREET,1900,"-118.2842, 34.0518"
VEHICLE - STOLEN,PARKING LOT,1700,"-118.4404, 34.2353"
VEHICLE - STOLEN,STREET,1000,"-118.4525, 34.267"
VEHICLE - STOLEN,STREET,1700,"-118.3069, 34.0799"
VEHICLE - STOLEN,PARKING LOT,1400,"-118.5027, 34.2212"
VEHICLE - STOLEN,STREET,2320,"-118.4837, 34.2085"
VEHICLE - STOLEN,STREET,1300,"-118.5976, 34.2336"
VEHICLE - STOLEN,STREET,1810,"-118.5011, 34.1866"
VEHICLE - STOLEN,STREET,2130,"-118.1988, 34.1227"
VEHICLE - STOLEN,DRIVEWAY,1800,"-118.1948, 34.106"
VEHICLE - STOLEN,STREET,2300,"-118.2011, 34.1273"
BURGLARY,SINGLE FAMILY DWELLING,1330,"-118.2024, 34.1251"
CRUELTY TO ANIMALS,STREET,1100,"-118.2141, 34.1391"
VEHICLE - STOLEN,PARKING LOT,1730,"-118.1923, 34.1054"
VEHICLE - STOLEN,STREET,2300,"-118.2803, 33.9708"
VEHICLE - STOLEN,STREET,1900,"-118.3046, 33.9646"
VEHICLE - STOLEN,STREET,1700,"-118.3003, 33.9583"
VEHICLE - STOLEN,STREET,1550,"-118.2869, 33.9455"
VEHICLE - STOLEN,STREET,1800,"-118.2782, 33.9538"
VEHICLE - STOLEN,STREET,1100,"-118.2805, 33.9419"
VEHICLE - STOLEN,STREET,2230,"-118.44, 34.2124"
VEHICLE - STOLEN,STREET,2300,"-118.5762, 34.192"
VEHICLE - STOLEN,STREET,1500,"-118.242, 34.0011"
VEHICLE - STOLEN,STREET,2130,"-118.5492, 34.189"
VEHICLE - STOLEN,STREET,2040,"-118.2863, 34.0982"
VEHICLE - STOLEN,PARKING LOT,2000,"-118.2564, 33.9638"
VEHICLE - STOLEN,STREET,2000,"-118.3308, 33.9931"
VEHICLE - STOLEN,STREET,2120,"-118.2944, 33.9746"
VEHICLE - STOLEN,STREET,1800,"-118.2917, 33.96"
VEHICLE - STOLEN,STREET,2000,"-118.2499, 33.9984"
VEHICLE - STOLEN,STREET,2130,"-118.3258, 33.9932"
VEHICLE - STOLEN,STREET,2100,"-118.2695, 33.9713"
VEHICLE - STOLEN,STREET,2200,"-118.2827, 33.9874"
VEHICLE - STOLEN,STREET,2200,"-118.2827, 33.9601"
VEHICLE - STOLEN,STREET,2150,"-118.4708, 33.9881"
VEHICLE - STOLEN,STREET,1730,"-118.3149, 34.0001"
BURGLARY,STORAGE SHED,2200,"-118.2665, 34.0218"
VEHICLE - STOLEN,PARKING LOT,1900,"-118.241, 34.0293"
VEHICLE - STOLEN,STREET,1750,"-118.274, 34.0056"
VEHICLE - STOLEN,STREET,1200,"-118.2472, 34.0242"
VEHICLE - STOLEN,STREET,2300,"-118.23, 34.0326"
VEHICLE - STOLEN,STREET,1000,"-118.2564, 33.9916"
VEHICLE - STOLEN,STREET,1700,"-118.2678, 34.0154"
VEHICLE - STOLEN,STREET,1100,"-118.2521, 33.9984"
VEHICLE - STOLEN,STREET,1430,"-118.2388, 33.9994"
